order_date,country,product_id,quantity,total_amount,date,campaign_name,start_date,end_date,in_campaign,pageviews,sessions,footfall,temperature
2024-06-08,Armenia,18,7,715.53,2024-06-08,No Campaign,2024-01-28,2024-02-09,False,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,No Campaign,2024-08-12,2024-10-06,False,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Toughjoyfax,2024-04-01,2024-12-19,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Prodder,2024-01-17,2024-10-09,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,No Campaign,2024-08-10,2024-10-08,False,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Pannier,2024-03-08,2024-10-31,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Holdlamis,2024-06-05,2024-09-14,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Toughjoyfax,2024-04-16,2024-08-31,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Greenlam,2024-06-06,2024-08-17,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Tres-Zap,2024-01-07,2024-08-01,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Rank,2024-05-01,2024-12-27,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Wrapsafe,2024-06-02,2024-09-12,True,84990,40375,44.5,22.95
2024-06-08,Armenia,18,7,715.53,2024-06-08,Konklab,2024-01-05,2024-11-12,True,84990,40375,44.5,22.95
2024-08-07,Netherlands,18,2,277.46,2024-08-07,No Campaign,2024-01-28,2024-02-09,False,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,No Campaign,2024-08-12,2024-10-06,False,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,Toughjoyfax,2024-04-01,2024-12-19,True,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,Prodder,2024-01-17,2024-10-09,True,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,No Campaign,2024-08-10,2024-10-08,False,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,Pannier,2024-03-08,2024-10-31,True,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,Holdlamis,2024-06-05,2024-09-14,True,19167,5642,50.0,21.55
2024-08-07,Netherlands,18,2,277.46,2024-08-07,Toughjoyfax,2024-04-16,2024-08-31,True,19167,5642,50.0,21.55
